,Method,Coarsen,Priv,Data,Round,Client Number,Loss,Accuracy
0,FL,False,False,Test,0,1,0.75957,0.58639
1,FL,False,False,Test,0,0,0.70819,0.58889
2,FL,False,False,Test,1,0,0.62214,0.65556
3,FL,False,False,Test,1,1,0.65121,0.64398
4,FL,False,False,Test,2,1,0.62647,0.69634
5,FL,False,False,Test,2,0,0.61532,0.67222
6,FL,False,False,Test,3,0,0.63541,0.71667
7,FL,False,False,Test,3,1,0.66218,0.6911
8,FL,False,False,Test,4,1,0.88438,0.61257
9,FL,False,False,Test,4,0,0.73151,0.68333
10,FL,False,False,Test,5,1,1.11509,0.64921
11,FL,False,False,Test,5,0,0.83372,0.67222
12,FL,False,False,Test,6,1,1.20022,0.66492
13,FL,False,False,Test,6,0,0.89892,0.68889
14,FL,False,False,Test,7,1,1.54708,0.68586
15,FL,False,False,Test,7,0,1.13031,0.70556
16,FL,False,False,Test,8,1,1.35092,0.67016
17,FL,False,False,Test,8,0,1.13219,0.65
18,FL,False,False,Test,9,1,1.66169,0.67016
19,FL,False,False,Test,9,0,1.30177,0.68889
20,FL,False,False,Test,10,1,1.67487,0.65969
21,FL,False,False,Test,10,0,1.30108,0.68333
22,FL,False,False,Test,11,1,1.7385,0.63874
23,FL,False,False,Test,11,0,1.34471,0.68333
24,FL,False,False,Test,12,0,1.43615,0.68333
25,FL,False,False,Test,12,1,2.11848,0.63874
26,FL,False,False,Test,13,0,1.44911,0.69444
27,FL,False,False,Test,13,1,2.13641,0.63351
28,FL,False,False,Test,14,0,1.74625,0.70556
29,FL,False,False,Test,14,1,2.4476,0.65969
30,FL,False,False,Test,15,0,1.56775,0.68333
31,FL,False,False,Test,15,1,1.91499,0.64921
32,FL,False,False,Test,16,0,1.80935,0.71667
33,FL,False,False,Test,16,1,2.56487,0.64921
34,FL,False,False,Test,17,1,2.34183,0.64921
35,FL,False,False,Test,17,0,1.75281,0.71667
36,FL,False,False,Test,18,1,2.21831,0.66492
37,FL,False,False,Test,18,0,1.88002,0.70556
38,FL,False,False,Test,19,1,2.41914,0.65969
39,FL,False,False,Test,19,0,1.98248,0.68333
40,FL,False,False,Test,20,0,1.77803,0.71111
41,FL,False,False,Test,20,1,2.19277,0.6911
42,FL,False,False,Test,21,0,1.74529,0.70556
43,FL,False,False,Test,21,1,2.45269,0.67539
44,FL,False,False,Test,22,0,2.1256,0.7
45,FL,False,False,Test,22,1,2.58505,0.67016
46,FL,False,False,Test,23,1,2.91646,0.65445
47,FL,False,False,Test,23,0,2.25715,0.68889
48,FL,False,False,Test,24,0,2.39772,0.67222
49,FL,False,False,Test,24,1,2.66546,0.67539
50,FL,False,True,Test,0,1,2.08916,0.60209
51,FL,False,True,Test,0,0,1.99787,0.65556
52,FL,False,True,Test,1,1,3.44656,0.50262
53,FL,False,True,Test,1,0,2.51036,0.58333
54,FL,False,True,Test,2,1,2.28827,0.58115
55,FL,False,True,Test,2,0,2.1893,0.56111
56,FL,False,True,Test,3,0,4.25202,0.60556
57,FL,False,True,Test,3,1,3.2135,0.62304
58,FL,False,True,Test,4,0,2.55869,0.58889
59,FL,False,True,Test,4,1,2.77311,0.56021
60,FL,False,True,Test,5,1,3.20587,0.62304
61,FL,False,True,Test,5,0,3.03751,0.57222
62,FL,False,True,Test,6,1,3.18751,0.59686
63,FL,False,True,Test,6,0,2.44659,0.62222
64,FL,False,True,Test,7,0,3.69615,0.60556
65,FL,False,True,Test,7,1,3.03399,0.63351
66,FL,False,True,Test,8,0,2.66646,0.65556
67,FL,False,True,Test,8,1,2.92663,0.62827
68,FL,False,True,Test,9,0,2.4486,0.61111
69,FL,False,True,Test,9,1,2.85878,0.63874
70,FL,False,True,Test,10,0,3.32705,0.63333
71,FL,False,True,Test,10,1,3.59496,0.67016
72,FL,False,True,Test,11,0,3.13854,0.61111
73,FL,False,True,Test,11,1,2.99537,0.64398
74,FL,False,True,Test,12,0,3.77853,0.65556
75,FL,False,True,Test,12,1,4.33856,0.65969
76,FL,False,True,Test,13,1,3.49149,0.63351
77,FL,False,True,Test,13,0,2.92374,0.60556
78,FL,False,True,Test,14,0,3.24465,0.62222
79,FL,False,True,Test,14,1,4.19129,0.62827
80,FL,False,True,Test,15,1,2.80991,0.6178
81,FL,False,True,Test,15,0,2.72434,0.62222
82,FL,False,True,Test,16,0,2.63161,0.63333
83,FL,False,True,Test,16,1,3.22553,0.67539
84,FL,False,True,Test,17,1,2.87582,0.64398
85,FL,False,True,Test,17,0,2.49478,0.65556
