,Method,Coarsen,Privacy,Data,Round,Client Number,Loss,Accuracy
0,AllData,False,False,Train,0,0,0.5204,0.74394
1,AllData,False,True,Train,0,0,2.16662,0.68733
2,AllData,True,False,Train,0,0,0.61164,0.68037
3,AllData,True,True,Train,0,0,1.92657,0.63014
4,FL,False,False,Train,0,1,0.53224,0.74803
5,FL,False,False,Train,0,0,0.49854,0.75623
6,FL,False,False,Train,1,1,0.42842,0.7874
7,FL,False,False,Train,1,0,0.47811,0.74238
8,FL,False,False,Train,2,0,0.35622,0.83657
9,FL,False,False,Train,2,1,0.41268,0.8294
10,FL,False,False,Train,3,1,0.32049,0.87139
11,FL,False,False,Train,3,0,0.31719,0.85596
12,FL,False,False,Train,4,1,0.30568,0.86089
13,FL,False,False,Train,4,0,0.24611,0.89474
14,FL,False,False,Train,5,0,0.20408,0.9169
15,FL,False,False,Train,5,1,0.21367,0.91076
16,FL,False,False,Train,6,0,0.16753,0.93906
17,FL,False,False,Train,6,1,0.19325,0.91339
18,FL,False,False,Train,7,1,0.14754,0.94488
19,FL,False,False,Train,7,0,0.14511,0.95014
20,FL,False,False,Train,8,0,0.13861,0.94737
21,FL,False,False,Train,8,1,0.14889,0.94488
22,FL,False,False,Train,9,1,0.13499,0.95013
23,FL,False,False,Train,9,0,0.1137,0.96122
24,FL,False,False,Train,10,0,0.10919,0.95845
25,FL,False,False,Train,10,1,0.09926,0.9685
26,FL,False,False,Train,11,0,0.10834,0.95568
27,FL,False,False,Train,11,1,0.1096,0.95538
28,FL,False,False,Train,12,1,0.08081,0.96588
29,FL,False,False,Train,12,0,0.09169,0.95845
30,FL,False,False,Train,13,1,0.07715,0.97375
31,FL,False,False,Train,13,0,0.08372,0.96122
32,FL,False,False,Train,14,0,0.07015,0.97784
33,FL,False,False,Train,14,1,0.06926,0.979
34,FL,False,False,Train,15,0,0.07878,0.96953
35,FL,False,False,Train,15,1,0.07182,0.97113
36,FL,False,False,Train,16,1,0.05833,0.98163
37,FL,False,False,Train,16,0,0.06328,0.9723
38,FL,False,False,Train,17,1,0.06193,0.98425
39,FL,False,False,Train,17,0,0.06321,0.97507
40,FL,False,False,Train,18,1,0.05851,0.98163
41,FL,False,False,Train,18,0,0.06218,0.97507
42,FL,False,False,Train,19,1,0.05119,0.98163
43,FL,False,False,Train,19,0,0.06224,0.97507
44,FL,False,False,Train,20,1,0.04834,0.98163
45,FL,False,False,Train,20,0,0.05755,0.97784
46,FL,False,False,Train,21,0,0.05505,0.97507
47,FL,False,False,Train,21,1,0.04713,0.98425
48,FL,False,False,Train,22,0,0.0549,0.98061
49,FL,False,False,Train,22,1,0.04301,0.98688
50,FL,False,False,Train,23,1,0.03951,0.98688
51,FL,False,False,Train,23,0,0.04906,0.98061
52,FL,False,False,Train,24,1,0.03681,0.98688
53,FL,False,False,Train,24,0,0.04788,0.98061
54,FL,False,True,Train,0,0,1.7546,0.65928
55,FL,False,True,Train,0,1,1.57922,0.67192
56,FL,False,True,Train,1,1,1.72586,0.69029
57,FL,False,True,Train,1,0,1.72214,0.72022
58,FL,False,True,Train,2,0,1.58004,0.6759
59,FL,False,True,Train,2,1,2.26367,0.65879
60,FL,False,True,Train,3,0,2.23126,0.66759
61,FL,False,True,Train,3,1,2.64481,0.66404
62,FL,False,True,Train,4,0,2.04508,0.6759
63,FL,False,True,Train,4,1,2.44306,0.69029
64,FL,False,True,Train,5,0,1.67706,0.70637
65,FL,False,True,Train,5,1,1.82093,0.70604
66,FL,False,True,Train,6,1,2.63855,0.69554
67,FL,False,True,Train,6,0,1.90387,0.68698
68,FL,False,True,Train,7,1,2.47575,0.64567
69,FL,False,True,Train,7,0,1.79489,0.66205
70,FL,False,True,Train,8,1,2.23739,0.67979
71,FL,False,True,Train,8,0,2.02064,0.71745
72,FL,False,True,Train,9,0,2.03344,0.69529
73,FL,False,True,Train,9,1,2.24406,0.69554
74,FL,False,True,Train,10,0,2.09738,0.71468
75,FL,False,True,Train,10,1,2.75423,0.69816
76,FL,False,True,Train,11,1,2.94152,0.66667
77,FL,False,True,Train,11,0,2.43387,0.72299
78,FL,False,True,Train,12,1,3.53018,0.64304
79,FL,False,True,Train,12,0,2.1068,0.69806
80,FL,False,True,Train,13,0,1.83028,0.73684
81,FL,False,True,Train,13,1,3.71648,0.69291
82,FL,False,True,Train,14,1,2.55868,0.71654
83,FL,False,True,Train,14,0,2.06419,0.70637
84,FL,False,True,Train,15,0,1.79147,0.67313
85,FL,False,True,Train,15,1,1.96935,0.73228
86,FL,False,True,Train,16,0,1.96845,0.7313
87,FL,False,True,Train,16,1,2.90678,0.69291
88,FL,False,True,Train,17,1,2.63284,0.69554
89,FL,False,True,Train,17,0,1.97561,0.69806
90,FL,False,True,Train,18,1,2.22441,0.70866
